Question_id;Description;Rating;Human_component_id;Human_component;Behavior_id;Behavior;Answer_id;Answers;Answer_value
R1.3.1.2.2;Das Anforderungsmanagementsystem muss es dem Benutzer ermöglichen, Versionskennungen manuell zu definieren.;2;3;Projektmanager, Wirtschaftsanalyst;3;Dokumentation der Geschichte;34;Ist mit Editor hinzuzufügen;1
R1.3.1.2.2;Das Anforderungsmanagementsystem muss es dem Benutzer ermöglichen, Versionskennungen manuell zu definieren.;2;3;Projektmanager, Wirtschaftsanalyst;3;Dokumentation der Geschichte;35;Ist einfach hinzuzufügen;2
R1.3.1.2.2;Das Anforderungsmanagementsystem muss es dem Benutzer ermöglichen, Versionskennungen manuell zu definieren.;2;3;Projektmanager, Wirtschaftsanalyst;3;Dokumentation der Geschichte;36;Ist gleich verfügbar;3
R1.3.1.2.3;Das Anforderungsmanagementsystem muss die Speicherung von Informationen über den Autor der Versionsänderung unterstützen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;37;Ist nicht realisierbar;0
R1.3.1.2.3;Das Anforderungsmanagementsystem muss die Speicherung von Informationen über den Autor der Versionsänderung unterstützen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;38;Ist mit Editor hinzuzufügen;1
R1.3.1.2.3;Das Anforderungsmanagementsystem muss die Speicherung von Informationen über den Autor der Versionsänderung unterstützen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;39;Ist einfach hinzuzufügen;2
R1.3.1.2.3;Das Anforderungsmanagementsystem muss die Speicherung von Informationen über den Autor der Versionsänderung unterstützen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;40;Ist gleich verfügbar;3
R1.3.1.2.4;Das Anforderungsmanagementsystem muss das Speichern eines Kommentars zu einer Versionsänderung unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;41;Ist nicht realisierbar;0
R1.3.1.2.4;Das Anforderungsmanagementsystem muss das Speichern eines Kommentars zu einer Versionsänderung unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;42;Ist mit Editor hinzuzufügen;1
R1.3.1.2.4;Das Anforderungsmanagementsystem muss das Speichern eines Kommentars zu einer Versionsänderung unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;43;Ist einfach hinzuzufügen;2
R1.3.1.2.4;Das Anforderungsmanagementsystem muss das Speichern eines Kommentars zu einer Versionsänderung unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;44;Ist gleich verfügbar;3
R1.3.1.2.5;Das Tool muss einen vollständigen Änderungsverlauf führen, die Unterschiede zwischen den Versionen hervorheben und die Gründe für jede Änderung aufzeichnen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;45;Ist nicht realisierbar;0
R1.3.1.2.5;Das Tool muss einen vollständigen Änderungsverlauf führen, die Unterschiede zwischen den Versionen hervorheben und die Gründe für jede Änderung aufzeichnen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;46;Ist mit Editor hinzuzufügen;1
R1.3.1.2.5;Das Tool muss einen vollständigen Änderungsverlauf führen, die Unterschiede zwischen den Versionen hervorheben und die Gründe für jede Änderung aufzeichnen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;47;Ist einfach hinzuzufügen;2
R1.3.1.2.5;Das Tool muss einen vollständigen Änderungsverlauf führen, die Unterschiede zwischen den Versionen hervorheben und die Gründe für jede Änderung aufzeichnen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;48;Ist gleich verfügbar;3
R1.3.2;Das Tool muss die Versionskontrolle für den gesamten Anforderungskatalog unterstützen, sodass Benutzer frühere Versionen überprüfen und wiederherstellen können.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;49;Ist nicht realisierbar;0
R1.3.2;Das Tool muss die Versionskontrolle für den gesamten Anforderungskatalog unterstützen, sodass Benutzer frühere Versionen überprüfen und wiederherstellen können.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;50;Ist mit Editor hinzuzufügen;1
R1.3.2;Das Tool muss die Versionskontrolle für den gesamten Anforderungskatalog unterstützen, sodass Benutzer frühere Versionen überprüfen und wiederherstellen können.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;51;Ist einfach hinzuzufügen;2
R1.3.2;Das Tool muss die Versionskontrolle für den gesamten Anforderungskatalog unterstützen, sodass Benutzer frühere Versionen überprüfen und wiederherstellen können.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;52;Ist gleich verfügbar;3
R1.3.2.1;Die Objekte im Tool müssen versioniert sein.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;53;Ist nicht realisierbar;0
R1.3.2.1;Die Objekte im Tool müssen versioniert sein.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;54;Ist mit Editor hinzuzufügen;1
R1.3.2.1;Die Objekte im Tool müssen versioniert sein.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;55;Ist einfach hinzuzufügen;2
R1.3.2.1;Die Objekte im Tool müssen versioniert sein.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;56;Ist gleich verfügbar;3
R1.3.2.1.1;Es muss zwischen Haupt- und Nebenversionen unterschieden werden.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;57;Ist nicht realisierbar;0
R1.3.2.1.1;Es muss zwischen Haupt- und Nebenversionen unterschieden werden.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;58;Ist mit Editor hinzuzufügen;1
R1.3.2.1.1;Es muss zwischen Haupt- und Nebenversionen unterschieden werden.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;59;Ist einfach hinzuzufügen;2
R1.3.2.1.1;Es muss zwischen Haupt- und Nebenversionen unterschieden werden.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;60;Ist gleich verfügbar;3
R1.3.2.1.2;Das Tool muss die Versionsnummer einer Anforderung automatisch erhöhen, wenn bestimmte Änderungen auftreten.;3;3;Projektmanager, Wirtschaftsanalyst;5;Automatisierung;61;Ist nicht realisierbar;0
R1.3.2.1.2;Das Tool muss die Versionsnummer einer Anforderung automatisch erhöhen, wenn bestimmte Änderungen auftreten.;3;3;Projektmanager, Wirtschaftsanalyst;5;Automatisierung;62;Ist mit Editor hinzuzufügen;1
R1.3.2.1.2;Das Tool muss die Versionsnummer einer Anforderung automatisch erhöhen, wenn bestimmte Änderungen auftreten.;3;3;Projektmanager, Wirtschaftsanalyst;5;Automatisierung;63;Ist einfach hinzuzufügen;2
R1.3.2.1.2;Das Tool muss die Versionsnummer einer Anforderung automatisch erhöhen, wenn bestimmte Änderungen auftreten.;3;3;Projektmanager, Wirtschaftsanalyst;5;Automatisierung;64;Ist gleich verfügbar;3
R1.3.2.2;Das Tool muss die Versionskontrolle für beliebige Teilbäume des Katalogs unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;65;Ist nicht realisierbar;0
R1.3.2.2;Das Tool muss die Versionskontrolle für beliebige Teilbäume des Katalogs unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;66;Ist mit Editor hinzuzufügen;1
R1.3.2.2;Das Tool muss die Versionskontrolle für beliebige Teilbäume des Katalogs unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;67;Ist einfach hinzuzufügen;2
R1.3.2.2;Das Tool muss die Versionskontrolle für beliebige Teilbäume des Katalogs unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;68;Ist gleich verfügbar;3
R1.3.2.3;Das Tool muss die Versionskontrolle für einzelne Objekte im Katalog unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;69;Ist nicht realisierbar;0
R1.3.2.3;Das Tool muss die Versionskontrolle für einzelne Objekte im Katalog unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;70;Ist mit Editor hinzuzufügen;1
R1.3.2.3;Das Tool muss die Versionskontrolle für einzelne Objekte im Katalog unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;71;Ist einfach hinzuzufügen;2
R1.3.2.3;Das Tool muss die Versionskontrolle für einzelne Objekte im Katalog unterstützen.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;72;Ist gleich verfügbar;3
R1.3.2.3.1;Das Tool muss es ermöglichen, eine Anforderung jederzeit in einen beliebigen vorherigen Zustand zurückzusetzen.;3;4;Tester, Wirtschaftsanalyst;4;Baselining;73;Ist nicht realisierbar;0
R1.3.2.3.1;Das Tool muss es ermöglichen, eine Anforderung jederzeit in einen beliebigen vorherigen Zustand zurückzusetzen.;3;4;Tester, Wirtschaftsanalyst;4;Baselining;74;Ist mit Editor hinzuzufügen;1
R1.3.2.3.1;Das Tool muss es ermöglichen, eine Anforderung jederzeit in einen beliebigen vorherigen Zustand zurückzusetzen.;3;4;Tester, Wirtschaftsanalyst;4;Baselining;75;Ist einfach hinzuzufügen;2
R1.3.2.3.1;Das Tool muss es ermöglichen, eine Anforderung jederzeit in einen beliebigen vorherigen Zustand zurückzusetzen.;3;4;Tester, Wirtschaftsanalyst;4;Baselining;76;Ist gleich verfügbar;3
R1.3.2.4;Das Tool muss sicherstellen, dass alle Änderungen und alten Versionen von Anforderungen dauerhaft zur Überprüfung verfügbar sind.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;77;Ist nicht realisierbar;0
R1.3.2.4;Das Tool muss sicherstellen, dass alle Änderungen und alten Versionen von Anforderungen dauerhaft zur Überprüfung verfügbar sind.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;78;Ist mit Editor hinzuzufügen;1
R1.3.2.4;Das Tool muss sicherstellen, dass alle Änderungen und alten Versionen von Anforderungen dauerhaft zur Überprüfung verfügbar sind.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;79;Ist einfach hinzuzufügen;2
R1.3.2.4;Das Tool muss sicherstellen, dass alle Änderungen und alten Versionen von Anforderungen dauerhaft zur Überprüfung verfügbar sind.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;80;Ist gleich verfügbar;3
R1.3.2.4.1;Das Tool muss die Änderungshistorie der Anforderungen angemessen visualisieren, beispielsweise durch farbige Versionsvergleiche.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;81;Ist nicht realisierbar;0
R1.3.2.4.1;Das Tool muss die Änderungshistorie der Anforderungen angemessen visualisieren, beispielsweise durch farbige Versionsvergleiche.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;82;Ist mit Editor hinzuzufügen;1
R1.3.2.4.1;Das Tool muss die Änderungshistorie der Anforderungen angemessen visualisieren, beispielsweise durch farbige Versionsvergleiche.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;83;Ist einfach hinzuzufügen;2
R1.3.2.4.1;Das Tool muss die Änderungshistorie der Anforderungen angemessen visualisieren, beispielsweise durch farbige Versionsvergleiche.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;84;Ist gleich verfügbar;3
R1.3.2.5;Das Tool muss frei konfigurierbare Änderungsberichte generieren.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;85;Ist nicht realisierbar;0
R1.3.2.5;Das Tool muss frei konfigurierbare Änderungsberichte generieren.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;86;Ist mit Editor hinzuzufügen;1
R1.3.2.5;Das Tool muss frei konfigurierbare Änderungsberichte generieren.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;87;Ist einfach hinzuzufügen;2
R1.3.2.5;Das Tool muss frei konfigurierbare Änderungsberichte generieren.;3;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;88;Ist gleich verfügbar;3
R1.3.2.5.1;Das Tool muss die Verknüpfung von Änderungsberichten mit bestimmten Ansichten der Anforderungen ermöglichen.;2;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;89;Ist nicht realisierbar;0
R1.3.2.5.1;Das Tool muss die Verknüpfung von Änderungsberichten mit bestimmten Ansichten der Anforderungen ermöglichen.;2;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;90;Ist mit Editor hinzuzufügen;1
R1.3.2.5.1;Das Tool muss die Verknüpfung von Änderungsberichten mit bestimmten Ansichten der Anforderungen ermöglichen.;2;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;91;Ist einfach hinzuzufügen;2
R1.3.2.5.1;Das Tool muss die Verknüpfung von Änderungsberichten mit bestimmten Ansichten der Anforderungen ermöglichen.;2;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;92;Ist gleich verfügbar;3
R1.3.2.5.2;Das Tool muss die Verknüpfung von Änderungsberichten mit spezifischen Grundlinien der Anforderungen ermöglichen.;2;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;93;Ist nicht realisierbar;0
R1.3.2.5.2;Das Tool muss die Verknüpfung von Änderungsberichten mit spezifischen Grundlinien der Anforderungen ermöglichen.;2;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;94;Ist mit Editor hinzuzufügen;1
R1.3.2.5.2;Das Tool muss die Verknüpfung von Änderungsberichten mit spezifischen Grundlinien der Anforderungen ermöglichen.;2;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;95;Ist einfach hinzuzufügen;2
R1.3.2.5.2;Das Tool muss die Verknüpfung von Änderungsberichten mit spezifischen Grundlinien der Anforderungen ermöglichen.;2;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;96;Ist gleich verfügbar;3
R1.3.2.5.3;Das Tool muss die Zuordnung von Änderungsberichten zu bestimmten generierten Dokumenten ermöglichen.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;97;Ist nicht realisierbar;0
R1.3.2.5.3;Das Tool muss die Zuordnung von Änderungsberichten zu bestimmten generierten Dokumenten ermöglichen.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;98;Ist mit Editor hinzuzufügen;1
R1.3.2.5.3;Das Tool muss die Zuordnung von Änderungsberichten zu bestimmten generierten Dokumenten ermöglichen.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;99;Ist einfach hinzuzufügen;2
R1.3.2.5.3;Das Tool muss die Zuordnung von Änderungsberichten zu bestimmten generierten Dokumenten ermöglichen.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;100;Ist gleich verfügbar;3
R1.3.2.5.4;Das Tool muss Änderungen analysieren, um Auskunft über den Projektstatus zu geben.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;101;Ist nicht realisierbar;0
R1.3.2.5.4;Das Tool muss Änderungen analysieren, um Auskunft über den Projektstatus zu geben.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;102;Ist mit Editor hinzuzufügen;1
R1.3.2.5.4;Das Tool muss Änderungen analysieren, um Auskunft über den Projektstatus zu geben.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;103;Ist einfach hinzuzufügen;2
R1.3.2.5.4;Das Tool muss Änderungen analysieren, um Auskunft über den Projektstatus zu geben.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;104;Ist gleich verfügbar;3
R1.3.2.5.4.1;Das Tool muss die Kategorisierung von Änderungen ermöglichen, um die Analyse zu unterstützen.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;105;Ist nicht realisierbar;0
R1.3.2.5.4.1;Das Tool muss die Kategorisierung von Änderungen ermöglichen, um die Analyse zu unterstützen.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;106;Ist mit Editor hinzuzufügen;1
R1.3.2.5.4.1;Das Tool muss die Kategorisierung von Änderungen ermöglichen, um die Analyse zu unterstützen.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;107;Ist einfach hinzuzufügen;2
R1.3.2.5.4.1;Das Tool muss die Kategorisierung von Änderungen ermöglichen, um die Analyse zu unterstützen.;3;2;Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;108;Ist gleich verfügbar;3
R1.3.2.5.5;Das Tool muss die Bewertung der Auswirkungen von Änderungen auf zugehörige Anforderungen und Entwicklungsartefakte unterstützen.;3;12;Entwickler, Projektmanager, Tester;6;Traceability;109;Ist nicht realisierbar;0
R1.3.2.5.5;Das Tool muss die Bewertung der Auswirkungen von Änderungen auf zugehörige Anforderungen und Entwicklungsartefakte unterstützen.;3;12;Entwickler, Projektmanager, Tester;6;Traceability;110;Ist mit Editor hinzuzufügen;1
R1.3.2.5.5;Das Tool muss die Bewertung der Auswirkungen von Änderungen auf zugehörige Anforderungen und Entwicklungsartefakte unterstützen.;3;12;Entwickler, Projektmanager, Tester;6;Traceability;111;Ist einfach hinzuzufügen;2
R1.3.2.5.5;Das Tool muss die Bewertung der Auswirkungen von Änderungen auf zugehörige Anforderungen und Entwicklungsartefakte unterstützen.;3;12;Entwickler, Projektmanager, Tester;6;Traceability;112;Ist gleich verfügbar;3
R1.3.3;Das Tool muss es ermöglichen, zu jeder Änderung einen Kommentar zu speichern, um das Verständnis zu einem späteren Zeitpunkt zu ermöglichen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;113;Ist nicht realisierbar;0
R1.3.3;Das Tool muss es ermöglichen, zu jeder Änderung einen Kommentar zu speichern, um das Verständnis zu einem späteren Zeitpunkt zu ermöglichen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;114;Ist mit Editor hinzuzufügen;1
